Item Name,Date
Shift Left Activity 1,02/23/2026
Shift Left Activity 2,04/14/2026
Shift Left Activity 3,03/02/2026
Shift Left Activity 4,04/16/2026
Shift Left Activity 5,04/14/2026
Shift Left Activity 6,03/16/2026
Shift Left Activity 7,04/07/2026
Shift Left Activity 8,03/17/2026
Shift Left Activity 9,04/29/2026
Shift Left Activity 10,04/24/2026
Shift Left Activity 11,03/05/2026
Shift Left Activity 12,03/12/2026
Shift Left Activity 13,05/02/2026
Shift Left Activity 14,03/09/2026
Shift Left Activity 15,03/14/2026
Shift Left Activity 16,04/24/2026
Shift Left Activity 17,04/13/2026
Shift Left Activity 18,03/05/2026
Shift Left Activity 19,04/19/2026
Shift Left Activity 20,03/29/2026
Shift Left Activity 21,05/08/2026
Shift Left Activity 22,03/16/2026
Shift Left Activity 23,04/28/2026
Shift Left Activity 24,03/15/2026
Shift Left Activity 25,03/10/2026
Shift Left Activity 26,02/21/2026
Shift Left Activity 27,02/28/2026
Shift Left Activity 28,04/08/2026
Shift Left Activity 29,03/26/2026
Shift Left Activity 30,05/03/2026
Shift Left Activity 31,04/02/2026
Shift Left Activity 32,04/30/2026
Shift Left Activity 33,04/06/2026
Shift Left Activity 34,03/20/2026
Shift Left Activity 35,03/28/2026
Shift Left Activity 36,03/22/2026
Shift Left Activity 37,04/26/2026
Shift Left Activity 38,03/22/2026
Shift Left Activity 39,04/04/2026
Shift Left Activity 40,04/13/2026
Shift Left Activity 41,04/18/2026
Shift Left Activity 42,02/23/2026
Shift Left Activity 43,02/24/2026
Shift Left Activity 44,04/18/2026
Shift Left Activity 45,03/07/2026
Shift Left Activity 46,03/09/2026
Shift Left Activity 47,03/15/2026
Shift Left Activity 48,03/09/2026
Shift Left Activity 49,02/21/2026
Shift Left Activity 50,03/02/2026
Shift Left Activity 51,05/09/2026
Shift Left Activity 52,04/04/2026
Shift Left Activity 53,04/18/2026
Shift Left Activity 54,03/14/2026
Shift Left Activity 55,03/25/2026
Shift Left Activity 56,03/08/2026
Shift Left Activity 57,02/28/2026
Shift Left Activity 58,04/16/2026
Shift Left Activity 59,03/10/2026
Shift Left Activity 60,03/18/2026
Shift Left Activity 61,04/10/2026
Shift Left Activity 62,03/07/2026
Shift Left Activity 63,03/03/2026
Shift Left Activity 64,03/09/2026
Shift Left Activity 65,02/28/2026
Shift Left Activity 66,03/19/2026
Shift Left Activity 67,04/11/2026
Shift Left Activity 68,04/08/2026
Shift Left Activity 69,03/24/2026
Shift Left Activity 70,05/08/2026
Shift Left Activity 71,03/21/2026
Shift Left Activity 72,03/16/2026
Shift Left Activity 73,02/28/2026
Shift Left Activity 74,03/11/2026
Shift Left Activity 75,04/17/2026
Shift Left Activity 76,04/19/2026
Shift Left Activity 77,04/17/2026
Shift Left Activity 78,05/02/2026
Shift Left Activity 79,04/11/2026
Shift Left Activity 80,03/22/2026
Shift Left Activity 81,02/20/2026
Shift Left Activity 82,03/12/2026
Shift Left Activity 83,03/31/2026
Shift Left Activity 84,05/09/2026
Shift Left Activity 85,05/10/2026
Shift Left Activity 86,02/18/2026
Shift Left Activity 87,03/16/2026
Shift Left Activity 88,03/07/2026
Shift Left Activity 89,03/30/2026
Shift Left Activity 90,03/29/2026
Shift Left Activity 91,04/17/2026
Shift Left Activity 92,03/31/2026
Shift Left Activity 93,02/20/2026
Shift Left Activity 94,04/03/2026
Shift Left Activity 95,04/24/2026
Shift Left Activity 96,03/12/2026
Shift Left Activity 97,05/10/2026
Shift Left Activity 98,04/10/2026
Shift Left Activity 99,03/30/2026
Shift Left Activity 100,04/01/2026
Shift Left Activity 101,04/30/2026
